locale,status,label_key,json_file,translated_value,original_en_value,en_length,translated_length
pl,translated,amount_to_receive,main.json,Kwota do otrzymania,Amount to receive,17,19
pl,translated,success_unwrapped,main.json,Odwinęliśmy twoje {{amount}} {{fromToken}}!,We've unwrapped your {{amount}} {{fromToken}}!,46,43
pl,translated,clock_icon_alt,main.json,Ikona zegara,Clock icon,10,12
pl,translated,transaction_details,main.json,Szczegóły Transakcji,Transaction Details,19,20
pl,translated,wrapping,main.json,zamiana,wrapping,8,7
pl,translated,view_smart_contract_audit,main.json,Zobacz audyt smart kontraktu,View smart contract audit,25,28
pl,translated,done,main.json,Gotowe,Done,4,6
pl,translated,timeout_title,main.json,Ups! Twoja transakcja przekroczyła limit czasu!,Oops! Your transaction has timed out!,37,47
pl,translated,start_bridging,main.json,Rozpocznij Przenoszenie,Start Bridging,14,23
pl,translated,unwrapped,main.json,odwinięty,unwrapped,9,9
pl,translated,bridge_one_way_notice,main.json,"Tari Bridge obecnie działa w jedną stronę (XTM do wXTM). Współtwórcy Tari planują uruchomienie odwijania wXTM w lipcu 2025 lub wcześniej.
Aby uzyskać więcej informacji o Tari Bridge, proszę","Tari Bridge currently operates one way (XTM to wXTM). Tari contributors expect to launch wXTM unwrapping in July 2025 or sooner.
For more information about Tari Bridge please",174,189
pl,translated,bridge_title_suffix_inline,main.json,do dowolnego łańcucha,to any chain,12,21
pl,translated,xtm_token,main.json,XTM,XTM,3,3
pl,translated,click_to_switch,main.json,"Kliknij, aby zmienić",Click to switch,15,20
pl,translated,tick_icon_alt,main.json,Ikona zaznaczenia,Tick icon,9,17
pl,translated,see_faq,main.json,zobacz nasze FAQ,see our FAQ,11,16
pl,translated,timeout_subtext,main.json,Nie udało nam się zrealizować twojego żądania zamiany na czas. Twoje XTM pozostaje bezpieczne w twoim portfelu Tari  nie zostało odjęte ani przeniesione.,We couldn't complete your wrapping request in time. Your XTM remains safe in your Tari wallet  it hasn't been deducted or moved.,129,154
pl,translated,network_icon_alt,main.json,Ikona {{network}},{{network}} icon,16,17
cn,translated,success_title,main.json,我们已{{action}}您的{{amount}} {{fromToken}}！,We've {{action}} your {{amount}} {{fromToken}}!,47,40
cn,translated,amount_to_bridge,main.json,桥接金额,Amount to Bridge,16,4
cn,translated,bridge_description_prefix,main.json,将XTM包装成wXTM在以太坊上。wXTM不是您日常的以太坊代币。它是一个强大的,"Wrap XTM to create wXTM on Ethereum. wXTM isn't your
everyday Ethereum token anon. It's a powerful ",99,40
cn,translated,transaction_id,main.json,交易ID,Transaction ID,14,4
cn,translated,wrap_failed_message,main.json,我们未能及时完成您的包装请求。您的XTM在您的Tari钱包中仍然安全——它没有被扣除或移动。,"We couldn't complete your wrapping request in time.
Your XTM remains safe in your Tari wallet  it hasn't been deducted or moved.",129,46
cn,translated,having_trouble,main.json,遇到问题？,Having trouble?,15,5
cn,translated,max,main.json,最大,MAX,3,2
cn,translated,processing_title,main.json,等待确认...,Waiting for confirmation...,27,7
cn,translated,continue,main.json,继续,Continue,8,2
cn,translated,bridge_description_suffix,main.json,，未来可以存在于您想要的几乎任何链上。, that in future can exist on nearly any chain you desire.,57,19
cn,translated,wrapped,main.json,已包装,wrapped,7,3
cn,translated,connect_wallet_title,main.json,连接钱包,Connect a Wallet,16,4
cn,translated,eth_mainnet,main.json,以太坊主网,ETH MAINNET,11,5
cn,translated,tokens_received_title,main.json,{{fromToken}}已接收 - 即将包装,{{fromToken}} received - wrapping soon,38,23
cn,translated,retry,main.json,重试,Retry,5,2
cn,translated,processing_subtext,main.json,我们已收到您的请求。您的资金将在流程开始后立即包装。无需采取任何行动。,We've received your request. Your funds will be wrapped as soon as the process begins. No action is needed.,107,35
cn,translated,please_connect_supported_network,main.json,请连接到我们支持的网络之一以继续,Please connect to one of our supported networks to continue,59,16
cn,translated,unwrapping,main.json,解包,unwrapping,10,2
cn,translated,layerzero_oft,main.json,"LayerZero 
OFT","LayerZero 
OFT",14,14
cn,translated,connect_wallet_subtitle,main.json,这将是您的wXTM的目的地,This will be the destination for your wXTM,42,13
cn,translated,bridge_title_prefix,main.json,桥接您的,Bridge your,11,4
cn,translated,close,main.json,关闭,Close,5,2
cn,translated,destination_address,main.json,目标地址,Destination address,19,4
cn,translated,pending_title,main.json,我们正在{{action}}您的{{amount}} {{fromToken}},We're {{action}} your {{amount}} {{fromToken}},46,40
cn,translated,tokens_received_subtext,main.json,我们已收到您的{{fromToken}}。包装已排队并将很快开始。完成后，您将在您的以太坊地址收到wXTM。,We've received your {{fromToken}}. Wrapping is queued and will begin shortly. You'll get wXTM at your Ethereum address once complete.,133,54
cn,translated,success_wrapped,main.json,我们已包装您的{{amount}} {{fromToken}}！,We've wrapped your {{amount}} {{fromToken}}!,44,32
cn,translated,success_subtext,main.json,您的wXTM转换已完成，您的资金已存入指定地址。,Your wXTM conversion has been complete and your funds have been deposited into the address specified.,101,24
cn,translated,timeout_icon_alt,main.json,超时,Timeout,7,2
cn,translated,wallet_icon_alt,main.json,钱包图标,Wallet icon,11,4
cn,translated,bridge_title_suffix_break,main.json,"到
任何链","to 
 any chain",14,5
cn,translated,connect_wallet,main.json,连接钱包,Connect Wallet,14,4
cn,translated,unknown_transaction_status,main.json,未知交易状态。,Unknown transaction status.,27,7
cn,translated,switch_network,main.json,切换网络,Switch Network,14,4
cn,translated,pending_subtext,main.json,您将在不超过{{bridgingTime}}内收到{{amount}} {{fromToken}}。资金将自动从您链接的Tari Universe钱包转移。您无需做其他任何事情。,You'll receive {{amount}} {{fromToken}} in no more than {{bridgingTime}}. Funds are automatically transferred from your linked Tari Universe wallet. You don't need to do anything else.,184,89
cn,translated,view_faqs,main.json,查看常见问题,View FAQs,9,6
cn,translated,conversion_complete,main.json,您的{{toToken}}转换已完成，您的资金已存入指定地址。,Your {{toToken}} conversion has been complete and your funds have been deposited into the address specified.,108,31
cn,translated,something_went_wrong,main.json,出现问题,Something went wrong,20,4
cn,translated,amount_to_receive,main.json,接收金额,Amount to receive,17,4
cn,translated,success_unwrapped,main.json,我们已解包您的{{amount}} {{fromToken}}！,We've unwrapped your {{amount}} {{fromToken}}!,46,32
cn,translated,clock_icon_alt,main.json,时钟图标,Clock icon,10,4
cn,translated,transaction_details,main.json,交易详情,Transaction Details,19,4
cn,translated,wrapping,main.json,包装,wrapping,8,2
cn,translated,view_smart_contract_audit,main.json,查看智能合约审计,View smart contract audit,25,8
cn,translated,done,main.json,完成,Done,4,2
cn,translated,timeout_title,main.json,哎呀！您的交易已超时！,Oops! Your transaction has timed out!,37,11
cn,translated,start_bridging,main.json,开始桥接,Start Bridging,14,4
cn,translated,unwrapped,main.json,已解包,unwrapped,9,3
cn,translated,bridge_one_way_notice,main.json,"Tari Bridge目前仅支持单向操作（XTM到wXTM）。Tari贡献者预计将在2025年7月或更早推出wXTM解包。
有关Tari Bridge的更多信息，请","Tari Bridge currently operates one way (XTM to wXTM). Tari contributors expect to launch wXTM unwrapping in July 2025 or sooner.
For more information about Tari Bridge please",174,82
cn,translated,bridge_title_suffix_inline,main.json,到任何链,to any chain,12,4
cn,translated,xtm_token,main.json,XTM,XTM,3,3
cn,translated,click_to_switch,main.json,点击切换,Click to switch,15,4
cn,translated,tick_icon_alt,main.json,勾选图标,Tick icon,9,4
cn,translated,see_faq,main.json,查看我们的常见问题,see our FAQ,11,9
cn,translated,timeout_subtext,main.json,我们未能及时完成您的包装请求。您的XTM在您的Tari钱包中仍然安全——它没有被扣除或移动。,We couldn't complete your wrapping request in time. Your XTM remains safe in your Tari wallet  it hasn't been deducted or moved.,129,46
cn,translated,network_icon_alt,main.json,{{network}}图标,{{network}} icon,16,13
ja,translated,success_title,main.json,私たちはあなたの{{amount}} {{fromToken}}を{{action}}しました！,We've {{action}} your {{amount}} {{fromToken}}!,47,48
ja,translated,amount_to_bridge,main.json,ブリッジする量,Amount to Bridge,16,7
ja,translated,bridge_description_prefix,main.json,XTMをラップしてEthereum上でwXTMを作成します。wXTMは日常的なEthereumトークンではありません。それは強力な,"Wrap XTM to create wXTM on Ethereum. wXTM isn't your
everyday Ethereum token anon. It's a powerful ",99,65
ja,translated,transaction_id,main.json,トランザクションID,Transaction ID,14,10
ja,translated,wrap_failed_message,main.json,"ラッピングリクエストを時間内に完了できませんでした。
あなたのXTMはTariウォレットに安全に保管されています控除も移動もされていません。","We couldn't complete your wrapping request in time.
Your XTM remains safe in your Tari wallet  it hasn't been deducted or moved.",129,71
ja,translated,having_trouble,main.json,問題がありますか？,Having trouble?,15,9
ja,translated,max,main.json,最大,MAX,3,2
ja,translated,processing_title,main.json,確認を待っています...,Waiting for confirmation...,27,12
ja,translated,continue,main.json,続行,Continue,8,2
ja,translated,bridge_description_suffix,main.json,将来的には、ほぼすべてのチェーンで存在できる, that in future can exist on nearly any chain you desire.,57,22
ja,translated,wrapped,main.json,ラップ済み,wrapped,7,5
ja,translated,connect_wallet_title,main.json,ウォレットを接続,Connect a Wallet,16,8
ja,translated,eth_mainnet,main.json,ETHメインネット,ETH MAINNET,11,9
ja,translated,tokens_received_title,main.json,{{fromToken}}を受け取りました - まもなくラッピング,{{fromToken}} received - wrapping soon,38,33
ja,translated,retry,main.json,再試行,Retry,5,3
ja,translated,processing_subtext,main.json,リクエストを受け取りました。プロセスが始まり次第、資金はラップされます。何もする必要はありません。,We've received your request. Your funds will be wrapped as soon as the process begins. No action is needed.,107,49
ja,translated,please_connect_supported_network,main.json,続行するには、サポートされているネットワークのいずれかに接続してください,Please connect to one of our supported networks to continue,59,36
ja,translated,unwrapping,main.json,アンラップ中,unwrapping,10,6
ja,translated,layerzero_oft,main.json,"LayerZero 
OFT","LayerZero 
OFT",14,14
ja,translated,connect_wallet_subtitle,main.json,これはあなたのwXTMの送信先になります,This will be the destination for your wXTM,42,20
ja,translated,bridge_title_prefix,main.json,あなたの,Bridge your,11,4
ja,translated,close,main.json,閉じる,Close,5,3
ja,translated,destination_address,main.json,送信先アドレス,Destination address,19,7
ja,translated,pending_title,main.json,私たちはあなたの{{amount}} {{fromToken}}を{{action}}しています,We're {{action}} your {{amount}} {{fromToken}},46,48
ja,translated,tokens_received_subtext,main.json,あなたの{{fromToken}}を受け取りました。ラッピングはキューに入り、まもなく開始されます。完了すると、EthereumアドレスにwXTMが届きます。,We've received your {{fromToken}}. Wrapping is queued and will begin shortly. You'll get wXTM at your Ethereum address once complete.,133,79
ja,translated,success_wrapped,main.json,あなたの{{amount}} {{fromToken}}をラップしました！,We've wrapped your {{amount}} {{fromToken}}!,44,37
ja,translated,success_subtext,main.json,wXTMへの変換が完了し、資金は指定されたアドレスに入金されました。,Your wXTM conversion has been complete and your funds have been deposited into the address specified.,101,34
ja,translated,timeout_icon_alt,main.json,タイムアウト,Timeout,7,6
ja,translated,wallet_icon_alt,main.json,ウォレットアイコン,Wallet icon,11,9
ja,translated,bridge_title_suffix_break,main.json,任意のチェーンへ,"to 
 any chain",14,8
ja,translated,connect_wallet,main.json,ウォレットを接続,Connect Wallet,14,8
ja,translated,unknown_transaction_status,main.json,不明なトランザクションステータス。,Unknown transaction status.,27,17
ja,translated,switch_network,main.json,ネットワークを切り替える,Switch Network,14,12
ja,translated,pending_subtext,main.json,{{bridgingTime}}以内に{{amount}} {{fromToken}}を受け取ります。資金はリンクされたTari Universeウォレットから自動的に転送されます。何もする必要はありません。,You'll receive {{amount}} {{fromToken}} in no more than {{bridgingTime}}. Funds are automatically transferred from your linked Tari Universe wallet. You don't need to do anything else.,184,104
ja,translated,view_faqs,main.json,FAQを見る,View FAQs,9,6
ja,translated,conversion_complete,main.json,あなたの{{toToken}}への変換が完了し、資金は指定されたアドレスに入金されました。,Your {{toToken}} conversion has been complete and your funds have been deposited into the address specified.,108,45
ja,translated,something_went_wrong,main.json,何かがうまくいきませんでした,Something went wrong,20,14
ja,translated,amount_to_receive,main.json,受け取る量,Amount to receive,17,5
ja,translated,success_unwrapped,main.json,あなたの{{amount}} {{fromToken}}をアンラップしました！,We've unwrapped your {{amount}} {{fromToken}}!,46,39
ja,translated,clock_icon_alt,main.json,時計アイコン,Clock icon,10,6
ja,translated,transaction_details,main.json,トランザクションの詳細,Transaction Details,19,11
ja,translated,wrapping,main.json,ラッピング中,wrapping,8,6
ja,translated,view_smart_contract_audit,main.json,スマートコントラクト監査を見る,View smart contract audit,25,15
ja,translated,done,main.json,完了,Done,4,2
ja,translated,timeout_title,main.json,おっと！トランザクションがタイムアウトしました！,Oops! Your transaction has timed out!,37,24
ja,translated,start_bridging,main.json,ブリッジを開始,Start Bridging,14,7
ja,translated,unwrapped,main.json,アンラップ済み,unwrapped,9,7
ja,translated,bridge_one_way_notice,main.json,"Tari Bridgeは現在一方向（XTMからwXTM）で動作しています。Tariの貢献者は、2025年7月またはそれ以前にwXTMのアンラッピングを開始する予定です。
Tari Bridgeの詳細については","Tari Bridge currently operates one way (XTM to wXTM). Tari contributors expect to launch wXTM unwrapping in July 2025 or sooner.
For more information about Tari Bridge please",174,104
ja,translated,bridge_title_suffix_inline,main.json,任意のチェーンへ,to any chain,12,8
ja,translated,xtm_token,main.json,XTM,XTM,3,3
ja,translated,click_to_switch,main.json,クリックして切り替え,Click to switch,15,10
ja,translated,tick_icon_alt,main.json,チェックアイコン,Tick icon,9,8
ja,translated,see_faq,main.json,FAQを見る,see our FAQ,11,6
ja,translated,timeout_subtext,main.json,ラッピングリクエストを時間内に完了できませんでした。あなたのXTMはTariウォレットに安全に保管されています控除も移動もされていません。,We couldn't complete your wrapping request in time. Your XTM remains safe in your Tari wallet  it hasn't been deducted or moved.,129,70
ja,translated,network_icon_alt,main.json,{{network}}アイコン,{{network}} icon,16,15
ru,translated,success_title,main.json,Мы {{action}} ваш {{amount}} {{fromToken}}!,We've {{action}} your {{amount}} {{fromToken}}!,47,43
ru,translated,amount_to_bridge,main.json,Сумма для переноса,Amount to Bridge,16,18
ru,translated,bridge_description_prefix,main.json,"Обертайте XTM, чтобы создать wXTM на Ethereum. wXTM — это не ваш обычный токен Ethereum. Это мощный ","Wrap XTM to create wXTM on Ethereum. wXTM isn't your
everyday Ethereum token anon. It's a powerful ",99,100
ru,translated,transaction_id,main.json,ID транзакции,Transaction ID,14,13
ru,translated,wrap_failed_message,main.json,"Мы не смогли завершить ваш запрос на обертку вовремя.
Ваш XTM остается в безопасности в вашем кошельке Tari — он не был списан или перемещен.","We couldn't complete your wrapping request in time.
Your XTM remains safe in your Tari wallet  it hasn't been deducted or moved.",129,141
ru,translated,having_trouble,main.json,Возникли проблемы?,Having trouble?,15,18
ru,translated,max,main.json,МАКС,MAX,3,4
ru,translated,processing_title,main.json,Ожидание подтверждения...,Waiting for confirmation...,27,25
ru,translated,continue,main.json,Продолжить,Continue,8,10
ru,translated,bridge_description_suffix,main.json,", который в будущем может существовать на любой цепочке, которую вы пожелаете.", that in future can exist on nearly any chain you desire.,57,78
ru,translated,wrapped,main.json,обернут,wrapped,7,7
ru,translated,connect_wallet_title,main.json,Подключите кошелек,Connect a Wallet,16,18
ru,translated,eth_mainnet,main.json,ETH MAINNET,ETH MAINNET,11,11
ru,translated,tokens_received_title,main.json,{{fromToken}} получен - скоро обертка,{{fromToken}} received - wrapping soon,38,37
ru,translated,retry,main.json,Повторить,Retry,5,9
ru,translated,processing_subtext,main.json,"Мы получили ваш запрос. Ваши средства будут обернуты, как только начнется процесс. Никаких действий не требуется.",We've received your request. Your funds will be wrapped as soon as the process begins. No action is needed.,107,113
ru,translated,please_connect_supported_network,main.json,"Пожалуйста, подключитесь к одной из поддерживаемых нами сетей, чтобы продолжить",Please connect to one of our supported networks to continue,59,79
ru,translated,unwrapping,main.json,разворачивание,unwrapping,10,14
ru,translated,layerzero_oft,main.json,"LayerZero 
OFT","LayerZero 
OFT",14,14
ru,translated,connect_wallet_subtitle,main.json,Это будет местом назначения для вашего wXTM,This will be the destination for your wXTM,42,43
ru,translated,bridge_title_prefix,main.json,Перенесите ваш,Bridge your,11,14
ru,translated,close,main.json,Закрыть,Close,5,7
ru,translated,destination_address,main.json,Адрес назначения,Destination address,19,16
ru,translated,pending_title,main.json,Мы {{action}} ваш {{amount}} {{fromToken}},We're {{action}} your {{amount}} {{fromToken}},46,42
ru,translated,tokens_received_subtext,main.json,Мы получили ваш {{fromToken}}. Обертка в очереди и скоро начнется. Вы получите wXTM на ваш Ethereum адрес после завершения.,We've received your {{fromToken}}. Wrapping is queued and will begin shortly. You'll get wXTM at your Ethereum address once complete.,133,123
ru,translated,success_wrapped,main.json,Мы обернули ваш {{amount}} {{fromToken}}!,We've wrapped your {{amount}} {{fromToken}}!,44,41
ru,translated,success_subtext,main.json,"Ваша конвертация в wXTM завершена, и ваши средства были зачислены на указанный адрес.",Your wXTM conversion has been complete and your funds have been deposited into the address specified.,101,85
ru,translated,timeout_icon_alt,main.json,Тайм-аут,Timeout,7,8
ru,translated,wallet_icon_alt,main.json,Иконка кошелька,Wallet icon,11,15
ru,translated,bridge_title_suffix_break,main.json,"на 
 любую цепочку","to 
 any chain",14,18
ru,translated,connect_wallet,main.json,Подключить кошелек,Connect Wallet,14,18
ru,translated,unknown_transaction_status,main.json,Неизвестный статус транзакции.,Unknown transaction status.,27,30
ru,translated,switch_network,main.json,Сменить сеть,Switch Network,14,12
ru,translated,pending_subtext,main.json,Вы получите {{amount}} {{fromToken}} не позднее чем через {{bridgingTime}}. Средства автоматически переводятся из вашего связанного кошелька Tari Universe. Вам не нужно ничего делать.,You'll receive {{amount}} {{fromToken}} in no more than {{bridgingTime}}. Funds are automatically transferred from your linked Tari Universe wallet. You don't need to do anything else.,184,183
ru,translated,view_faqs,main.json,Просмотреть часто задаваемые вопросы,View FAQs,9,36
ru,translated,conversion_complete,main.json,"Ваша конвертация в {{toToken}} завершена, и ваши средства были зачислены на указанный адрес.",Your {{toToken}} conversion has been complete and your funds have been deposited into the address specified.,108,92
ru,translated,something_went_wrong,main.json,Что-то пошло не так,Something went wrong,20,19
ru,translated,amount_to_receive,main.json,Сумма к получению,Amount to receive,17,17
ru,translated,success_unwrapped,main.json,Мы развернули ваш {{amount}} {{fromToken}}!,We've unwrapped your {{amount}} {{fromToken}}!,46,43
ru,translated,clock_icon_alt,main.json,Иконка часов,Clock icon,10,12
ru,translated,transaction_details,main.json,Детали транзакции,Transaction Details,19,17
ru,translated,wrapping,main.json,обертка,wrapping,8,7
ru,translated,view_smart_contract_audit,main.json,Просмотреть аудит смарт-контракта,View smart contract audit,25,33
ru,translated,done,main.json,Готово,Done,4,6
ru,translated,timeout_title,main.json,Упс! Время вашей транзакции истекло!,Oops! Your transaction has timed out!,37,36
ru,translated,start_bridging,main.json,Начать перенос,Start Bridging,14,14
ru,translated,unwrapped,main.json,развернут,unwrapped,9,9
ru,translated,bridge_one_way_notice,main.json,"Tari Bridge в настоящее время работает в одном направлении (XTM в wXTM). Участники Tari ожидают запуск разворачивания wXTM в июле 2025 года или раньше.
Для получения дополнительной информации о Tari Bridge, пожалуйста","Tari Bridge currently operates one way (XTM to wXTM). Tari contributors expect to launch wXTM unwrapping in July 2025 or sooner.
For more information about Tari Bridge please",174,217
ru,translated,bridge_title_suffix_inline,main.json,на любую цепочку,to any chain,12,16
ru,translated,xtm_token,main.json,XTM,XTM,3,3
ru,translated,click_to_switch,main.json,"Нажмите, чтобы переключить",Click to switch,15,26
ru,translated,tick_icon_alt,main.json,Иконка галочки,Tick icon,9,14
ru,translated,see_faq,main.json,см. наш FAQ,see our FAQ,11,11
ru,translated,timeout_subtext,main.json,Мы не смогли завершить ваш запрос на обертку вовремя. Ваш XTM остается в безопасности в вашем кошельке Tari — он не был списан или перемещен.,We couldn't complete your wrapping request in time. Your XTM remains safe in your Tari wallet  it hasn't been deducted or moved.,129,141
ru,translated,network_icon_alt,main.json,Иконка {{network}},{{network}} icon,16,18
af,translated,success_title,main.json,Ons het jou {{amount}} {{fromToken}} {{action}}!,We've {{action}} your {{amount}} {{fromToken}}!,47,48
af,translated,amount_to_bridge,main.json,Bedrag om te Oorbrug,Amount to Bridge,16,20
af,translated,bridge_description_prefix,main.json,"Verpak XTM om wXTM op Ethereum te skep. wXTM is nie jou
daaglikse Ethereum-token nie, anon. Dit is 'n kragtige ","Wrap XTM to create wXTM on Ethereum. wXTM isn't your
everyday Ethereum token anon. It's a powerful ",99,111
af,translated,transaction_id,main.json,Transaksie-ID,Transaction ID,14,13
af,translated,wrap_failed_message,main.json,"Ons kon nie jou verpakkingsversoek betyds voltooi nie.
Jou XTM bly veilig in jou Tari-beursie  dit is nie afgetrek of geskuif nie.","We couldn't complete your wrapping request in time.
Your XTM remains safe in your Tari wallet  it hasn't been deducted or moved.",129,131
af,translated,having_trouble,main.json,Het jy probleme?,Having trouble?,15,16
af,translated,max,main.json,MAKS,MAX,3,4
af,translated,processing_title,main.json,Wag vir bevestiging...,Waiting for confirmation...,27,22
af,translated,continue,main.json,Gaan voort,Continue,8,10
af,translated,bridge_description_suffix,main.json, wat in die toekoms op byna enige ketting wat jy verlang kan bestaan., that in future can exist on nearly any chain you desire.,57,69
af,translated,wrapped,main.json,verpak,wrapped,7,6
af,translated,connect_wallet_title,main.json,Koppel 'n Beursie,Connect a Wallet,16,17
af,translated,eth_mainnet,main.json,ETH HOOFNETWERK,ETH MAINNET,11,15
af,translated,tokens_received_title,main.json,{{fromToken}} ontvang - verpakking binnekort,{{fromToken}} received - wrapping soon,38,44
af,translated,retry,main.json,Probeer weer,Retry,5,12
af,translated,processing_subtext,main.json,Ons het jou versoek ontvang. Jou fondse sal verpak word sodra die proses begin. Geen aksie is nodig nie.,We've received your request. Your funds will be wrapped as soon as the process begins. No action is needed.,107,104
af,translated,please_connect_supported_network,main.json,Koppel asseblief aan een van ons ondersteunde netwerke om voort te gaan,Please connect to one of our supported networks to continue,59,71
af,translated,unwrapping,main.json,ontverpak,unwrapping,10,9
af,translated,layerzero_oft,main.json,"LayerZero 
OFT","LayerZero 
OFT",14,14
af,translated,connect_wallet_subtitle,main.json,Dit sal die bestemming vir jou wXTM wees,This will be the destination for your wXTM,42,40
af,translated,bridge_title_prefix,main.json,Oorbrug jou,Bridge your,11,11
af,translated,close,main.json,Maak toe,Close,5,8
af,translated,destination_address,main.json,Bestemmingsadres,Destination address,19,16
af,translated,pending_title,main.json,Ons is besig om jou {{amount}} {{fromToken}} te {{action}},We're {{action}} your {{amount}} {{fromToken}},46,58
af,translated,tokens_received_subtext,main.json,Ons het jou {{fromToken}} ontvang. Verpakking is in die ry en sal binnekort begin. Jy sal wXTM by jou Ethereum-adres kry sodra dit voltooi is.,We've received your {{fromToken}}. Wrapping is queued and will begin shortly. You'll get wXTM at your Ethereum address once complete.,133,142
af,translated,success_wrapped,main.json,Ons het jou {{amount}} {{fromToken}} verpak!,We've wrapped your {{amount}} {{fromToken}}!,44,44
af,translated,success_subtext,main.json,Jou wXTM-omskakeling is voltooi en jou fondse is in die gespesifiseerde adres gedeponeer.,Your wXTM conversion has been complete and your funds have been deposited into the address specified.,101,89
af,translated,timeout_icon_alt,main.json,Tydsverloop,Timeout,7,11
af,translated,wallet_icon_alt,main.json,Beursie-ikoon,Wallet icon,11,13
af,translated,bridge_title_suffix_break,main.json,"na 
 enige ketting","to 
 any chain",14,18
