"json_file","key","english","af","cn","hi","id","ja","ko","pl","ru","tr"
"sidebar.json","lost-connection","Lost connection to the Tari Network. Reconnecting..","Lost connection to the Tari Network. Reconnecting..","Lost connection to the Tari Network. Reconnecting..","Tari नेटवर्क से कनेक्शन खो गया। पुनः कनेक्ट हो रहा है..","Koneksi ke Jaringan Tari terputus. Menyambung kembali..","Tariネットワークへの接続が失われました。再接続中..","Tari 네트워크와의 연결이 끊어졌습니다. 다시 연결 중..","Utracono połączenie z siecią Tari. Łączenie..","Потеряно соединение с сетью Tari. Переподключение..","Lost connection to the Tari Network. Reconnecting.."
"settings.json","settings","Settings","Instellings","设置","सेटिंग्स","Pengaturan","設定","설정","Ustawienia","Настройки","Ayarlar"
"settings.json","seed-words","Seed words","Saadwoorde","种子词","बीज शब्द","Kata-kata benih","シードワード","시드 단어","Słowa kluczowe","Секретные слова","Seed Kelimeleri"
"settings.json","send-logs","Submit an Issue & Logs","Stuur logs","发送日志","लॉग्स भेजें","Kirim log","ログを送信","로그 전송","Wyślij logi","Отправить логи","Günlüğü gönder"
"settings.json","your-feedback","Please describe your issue","Beskryf asseblief u probleem","请描述您的问题","कृपया अपनी समस्या का वर्णन करें","Silakan jelaskan masalah Anda","問題を説明してください","문제를 설명해 주세요","Proszę opisać swój problem","Пожалуйста, опишите вашу проблему","Lütfen sorununuzu açıklayın"
"settings.json","feedback-required","Feedback is required","Terugvoer is vereis","反馈是必需的","प्रतिक्रिया आवश्यक है","Umpan balik diperlukan","フィードバックが必要です","피드백이 필요합니다","Wymagana jest opinia","Требуется обратная связь","Geri bildirim gereklidir"
"settings.json","your-reference","Your reference:<br/><bold>{{logRef}}</bold>","U verwysing","您的参考","आपका संदर्भ","Referensi Anda","あなたの参照","귀하의 참조","Twoje odniesienie","Ваша ссылка","Referansınız"
"settings.json","change-language","Language","Verander taal","更改语言","भाषा","Bahasa","言語","언어","Zmień język","Язык","Dil Değiştir"
"settings.json","logs","Logs","Verslae","日志","लॉग्स","Log","ログ","로그","Logi","Логи","Günlükler"
"settings.json","open-logs-directory","Open logs directory","Maak verslag lêer oop","打开日志目录","लॉग्स निर्देशिका खोलें","Buka direktori log","ログディレクトリを開く","로그 디렉토리 열기","Otwórz katalog logów","Открыть папку с логами","Günlükler dizinini açın"
"settings.json","debug-info","Debug","Ontfoutingsinligting","调试信息","डीबग","Debug","デバッグ","디버그","Informacje debugowania","Отладка","Hata Ayıklama"
"settings.json","hardware-status","Hardware status","Hardeware status","硬件状态","हार्डवेयर स्थिति","Status perangkat keras","ハードウェアの状態","하드웨어 상태","Status sprzętu","Состояние оборудования","Donanım durumu"
"settings.json","update-versions","Update versions","Opdateer weergawes","更新版本","संस्करण अपडेट करें","Perbarui versi","バージョンを更新","버전 업데이트","Aktualizuj wersje","Обновить версии","Güncelleme sürümleri"
"settings.json","refresh-versions","Refresh versions","Verfris weergawes","刷新版本","संस्करण ताज़ा करें","Segarkan versi","バージョンを更新","버전 새로고침","Odśwież wersje","Обновить версии","Sürümleri yenileyin"
"settings.json","idle-timeout.title","Time after which machine is considered idle","Tyd waarna masjien as onaktief beskou word","机器被视为空闲的时间","समय जिसके बाद मशीन को निष्क्रिय माना जाता है","Waktu setelah mesin dianggap tidak aktif","マシンがアイドルと見なされるまでの時間","기기가 유휴 상태로 간주되는 시간","Czas po którym urządzenie jest uważane za bezczynne","Время, после которого машина считается в простое","Makinenin boşta sayılacağı süre"
"settings.json","idle-timeout.placeholder","Enter idle timeout in seconds","Voer onaktiwiteitstyd in sekondes in","输入空闲超时时间（秒）","सेकंड में निष्क्रिय समय सीमा दर्ज करें","Masukkan batas waktu tidak aktif dalam detik","アイドルタイムアウトを秒で入力","유휴 시간 초 단위로 입력","Wprowadź czas bezczynności w sekundach","Введите время простоя в секундах","Boşta kalma zaman aşımını saniye cinsinden girin"
"settings.json","idle-timeout.max","Maximum is 21600 seconds","Maksimum is 21600 sekondes","最大值为 21600 秒","अधिकतम 21600 सेकंड है","Maksimum adalah 21600 detik","最大は21600秒","최대 21600초","Maksymalny czas to 21600 sekund","Максимум 21600 секунд","Maks. 21600 saniye"
"settings.json","idle-timeout.min","Minimum is 1 second","Minimum is 1 sekonde","最小值为 1 秒","न्यूनतम 1 सेकंड है","Minimum adalah 1 detik","最小は1秒","최소 1초","Minimalny czas to 1 sekunda","Минимум 1 секунда","Min. 1 saniye"
"settings.json","tabs.general","General","Algemeen","常规","सामान्य","Umum","一般","일반","Ogólne","Общие","Genel"
"settings.json","tabs.mining","Mining","Mynbou","挖矿","माइनिंग","Penambangan","マイニング","채굴","Wydobycie","Майнинг","Madencilik"
"settings.json","tabs.experimental","Experimental","Eksperimenteel","实验性","प्रायोगिक","Eksperimental","実験的","실험적","Eksperymentalne","Экспериментальные","Deneysel"
"settings.json","monero-address.title","Monero address","Monero-adres","Monero 地址","मोनरो पता","Alamat Monero","Moneroアドレス","모네로 주소","Address Monero","Адрес Monero","Monero Adresi"
"settings.json","monero-address.placeholder","Enter Monero address","Voer Monero-adres in","输入 Monero 地址","मोनरो पता दर्ज करें","Masukkan alamat Monero","Moneroアドレスを入力","모네로 주소 입력","Wprowadź address Monero","Введите адрес Monero","Monero adresini girin"
"settings.json","last-block-added-time","Last block added to chain time","Tyd toe laaste blok by ketting gevoeg was","最后添加到链的块时间","श्रृंखला में जोड़ा गया अंतिम ब्लॉक समय","Waktu blok terakhir ditambahkan ke rantai","最後のブロックがチェーンに追加された時間","마지막 블록 체인 추가 시간","Czas dodania ostatniego bloku do łańcucha","Время добавления последнего блока в цепь","Zincir zamanına eklenen son blok"
"settings.json","visual-mode","Visual mode","Visuele modus","视觉模式","दृश्य मोड","Mode visual","ビジュアルモード","시각 모드","Tryb wizualny","Визуальный режим","Görsel mod"
"settings.json","pool-mining","Pool Mining","Poel Mynbou","矿池挖矿","पूल माइनिंग","Penambangan Pool","プールマイニング","풀 채굴","Pool Mining","Майнинг в пуле","Havuz Madenciliği"
"settings.json","pool-mining-description","When enabled, you will mine in a pool and join a group of miners.","Wanneer geaktiveer, sal u in ""n poel myn en by ""n groep mynwerkers aansluit.","启用后，您将在矿池中挖矿并加入一组矿工（部落）。","सक्षम होने पर, आप एक पूल में माइन करेंगे और माइनर्स के समूह में शामिल होंगे।","Ketika diaktifkan, Anda akan menambang dalam pool dan bergabung dengan kelompok penambang.","有効にすると、プールでマイニングし、マイナーのグループに参加します。","활성화되면 풀에서 채굴하고 마이너 그룹에 참여합니다.","Po włączeniu tej opcji będziesz wydobywać w puli i dołączać do grupy górników (plemienia).","При включении вы будете майнить в пуле и присоединитесь к группе майнеров.","Etkinleştirildiğinde, bir havuzda madencilik yapacak ve bir grup madenciye (kabileye) katılacaksınız."
"settings.json","cpu-mining-enabled","CPU Mining","SVE Mynbou","CPU 挖矿","सीपीयू माइनिंग","Penambangan CPU","CPUマイニング","CPU 채굴","Wydobycie CPU","Майнинг на CPU","CPU Madenciliği"
"settings.json","gpu-mining-enabled","GPU Mining","GPU Mynbou","GPU 挖矿","जीपीयू माइनिंग","Penambangan GPU","GPUマイニング","GPU 채굴","Wydobycie GPU","Майнинг на GPU","GPU Madenciliği"
"settings.json","gpu-unavailable","⚠️ GPU disabled because your hardware does not support it","⚠️ GPU gedeaktiveer omdat jou hardeware dit nie ondersteun nie","⚠️ GPU已禁用，因为您的硬件不支持","⚠️ जीपीयू अक्षम है क्योंकि आपका हार्डवेयर इसे समर्थन नहीं करता","⚠️ GPU dinonaktifkan karena perangkat keras Anda tidak mendukungnya","⚠️ ハードウェアがサポートしていないため、GPUが無効です","⚠️ 하드웨어가 지원하지 않아 GPU가 비활성화되었습니다","⚠️ Kopanie GPU niedostępne ponieważ Twój sprzęt go nie obsługuje","⚠️ GPU отключен, так как ваше оборудование не поддерживает его","⚠️ Donanımınız desteklemediği için GPU devre dışı bırakıldı"
"settings.json","p2pool-stats","Squad Stats","Spanstatistieke","P2Pool 状态","स्क्वाड आँकड़े","Statistik Squad","スクワッド統計","스쿼드 통계","Statystyki zespołu","Статистика команды","P2Pool İstatistikleri"
"settings.json","tribe","Squad","Span","部落","स्क्वाड","Squad","スクワッド","스쿼드","Zespół","Команда","Kabile"
"settings.json","miners","Miners","Mynwerkers","矿工","माइनर्स","Penambang","マイナー","마이너","Górnicy","Майнеры","Madenciler"
"settings.json","mining-toggle-warning","Mining will be paused while the changes take effect.","Mynbou sal gepauseer word terwyl die veranderinge in werking tree.","更改生效时，挖矿将暂停。","परिवर्तनों के प्रभावी होने के दौरान माइनिंग रोक दी जाएगी।","Penambangan akan dijeda saat perubahan diterapkan.","変更が適用される間、マイニングは一時停止されます。","변경 사항이 적용되는 동안 채굴이 일시 중지됩니다.","Wydobycie zostanie wstrzymane, gdy zmiany wejdą w życie.","Майнинг будет приостановлен, пока изменения вступят в силу.","Değişiklikler etkili olana kadar madencilik duraklatılacak."
"settings.json","tribe-earnings","Squad earnings","Spanverdienste","部落收入","स्क्वाड कमाई","Pendapatan Squad","スクワッドの収益","스쿼드 수익","Zarobki zespołu","Доход команды","Kabile kazançları"
"settings.json","tribe-pool-height","Squad height","Spanhoogte","矿池高度","स्क्वाड ऊँचाई","Tinggi Squad","スクワッドの高さ","스쿼드 높이","Wysokość zespołu","Высота команды","Havuz yüksekliği"
"settings.json","p2pool-hash-rate","Squad hash rates","Span hash-tariewe","矿池哈希率","स्क्वाड हैश दरें","Tingkat hash Squad","スクワッドのハッシュレート","스쿼드 해시레이트","Wskaźniki hashowania zespołu","Хэшрейт команды","Havuz hash oranları"
"settings.json","p2pool-total-earnings","Squad total earnings","Span totale verdienste","矿池总收益","स्क्वाड कुल कमाई","Total pendapatan Squad","スクワッドの総収益","스쿼드 총 수익","Całkowite zarobki zespołu","Общий доход команды","Toplam havuz kazançları"
"settings.json","p2pool-chain-tip","Tip of chains","Punt van kettings","链尖端","श्रृंखलाओं की नोक","Ujung rantai","チェーンの先端","체인의 끝","Wierzchołek łańcuchów","Конец цепей","Zincir ucu"
"settings.json","p2pool-user-total-earnings","Total earnings","Totale verdienste","总收入","कुल कमाई","Total pendapatan","総収益","총 수익","Całkowite zarobki","Общий доход","Toplam kazançlar"
"settings.json","yes","Yes","","是","हाँ","Ya","はい","예","Tak","Да","Evet"
"settings.json","cancel","Cancel","","取消","रद्द करें","Batal","キャンセル","취소","Anuluj","Отмена","İptal"
"settings.json","reset-settings","Reset Settings","Reset Settings","重置设置","सेटिंग्स रीसेट करें","Atur Ulang Pengaturan","設定をリセット","설정 초기화","Resetuj ustawienia","Сбросить настройки","Ayarları sıfırla"
"settings.json","reset-permanently","Are you sure you want to reset all settings permanently?","Are you sure you want to reset all settings permanently?","您确定要永久重置所有设置吗？","क्या आप वाकई सभी सेटिंग्स को स्थायी रूप से रीसेट करना चाहते हैं?","Apakah Anda yakin ingin mengatur ulang semua pengaturan secara permanen?","すべての設定を永久にリセットしてもよろしいですか？","모든 설정을 영구적으로 초기화하시겠습니까?","Czy na pewno chcesz trwale zresetować ustawienia?","Вы уверены, что хотите сбросить все настройки навсегда?","Tüm ayarları kalıcı olarak sıfırlamak istediğinizden emin misiniz?"
"settings.json","reset-wallet","Reset wallet","Reset wallet","Reset wallet","वॉलेट रीसेट करें","Atur ulang dompet","ウォレットをリセット","지갑 초기화","Resetuj porfel","Сбросить кошелек","Reset wallet"
"settings.json","experimental-title","Experimental Features","Eksperimentele Kenmerke","实验性功能","प्रायोगिक विशेषताएँ","Fitur Eksperimental","実験的機能","실험적 기능","Funkcje eksperymentalne","Экспериментальные функции","Deneysel Özellikler"
"settings.json","experimental-warning","⚠️ Warning: These features are under active development and could behave unpredictably. Please proceed carefully.","⚠️ Waarskuwing: Hierdie kenmerke is onder aktiewe ontwikkeling en kan onvoorspelbaar optree. Gaan asseblief versigtig voort.","⚠️ 警告：这些功能正在积极开发中，可能会表现得不可预测。请谨慎操作。","⚠️ चेतावनी: ये विशेषताएँ सक्रिय विकास में हैं और अप्रत्याशित रूप से व्यवहार कर सकती हैं। कृपया सावधानी से आगे बढ़ें।","⚠️ Peringatan: Fitur-fitur ini sedang dalam pengembangan aktif dan dapat berperilaku tidak terduga. Harap lanjutkan dengan hati-hati.","⚠️ 警告: これらの機能は開発中であり、予測不可能な動作をする可能性があります。慎重に進めてください。","⚠️ 경고: 이 기능들은 활발히 개발 중이며 예측할 수 없는 동작을 할 수 있습니다. 주의해서 진행하세요.","⚠️ Ostrzeżenie: Te funkcje są w trakcie aktywnego rozwoju i mogą działać nieprzewidywalnie. Proszę postępować ostrożnie.","⚠️ Внимание: Эти функции находятся в активной разработке и могут работать непредсказуемо. Пожалуйста, будьте осторожны.","⚠️ Uyarı: Bu özellikler aktif geliştirme aşamasındadır ve öngörülemeyen şekilde davranabilir. Lütfen dikkatlice ilerleyin."
"settings.json","connected-to-tari","Connected to the Tari Network","Connected to the Tari Network","Connected to the Tari Network","Tari नेटवर्क से जुड़ा","Terhubung ke Jaringan Tari","Tariネットワークに接続されています","Tari 네트워크에 연결됨","Połączono z siecią Tari","Подключено к сети Tari","Connected to the Tari Network"
"settings.json","not-connected-to-tari","Not connected to the Tari Network","Not connected to the Tari Network","Not connected to the Tari Network","Tari नेटवर्क से जुड़ा नहीं","Tidak terhubung ke Jaringan Tari","Tariネットワークに接続されていません","Tari 네트워크에 연결되지 않음","Nie połączono z siecią Tari","Не подключено к сети Tari","Not connected to the Tari Network"
"settings.json","connected-peers","Connected Peers","Connected Peers","Connected Peers","जुड़े हुए सहकर्मी","Rekan Terhubung","接続されたピア","연결된 피어","Połączone węzły","Подключенные узлы","Connected Peers"
"settings.json","should-use-system-language","Use system language","Use system language","Use system language","सिस्टम भाषा का उपयोग करें","Gunakan bahasa sistem","システム言語を使用","시스템 언어 사용","Use system language","Использовать системный язык","Use system language"
"common.json","submit","Submit","Dien in","提交","प्रस्तुत करें","Kirim","送信","제출","Wyślij","Отправить","Onayla"
"common.json","cancel","Cancel","Kanselleer","取消","रद्द करें","Batal","キャンセル","취소","Anuluj","Отмена","İptal"
"common.json","temperature","Temperature","Temperatuur","温度","तापमान","Suhu","温度","온도","Temperatura","Температура","Sıcaklık"
"common.json","max-temperature","Max temperature","Maksimum temperatuur","最高温度","अधिकतम तापमान","Suhu maksimum","最大温度","최대 온도","Maksymalna temperatura","Максимальная температура","Maks. Sıcaklık"
"common.json","usage","Usage","Gebruik","使用","उपयोग","Penggunaan","使用量","사용량","Użycie","Использование","Kullanım"
"common.json","seconds","seconds","Sekondes","片刻","सेकंड","detik","秒","초","sekundy","секунды","saniye"
"common.json","copied","Copied","Gekopieer","复制","प्रतिलिपि बनाई गई","Disalin","コピーされました","복사됨","Skopiowano","Скопировано","Kopyalandı"
"common.json","unknown","Unknown","Onbekend","未知","अज्ञात","Tidak diketahui","不明","알 수 없음","Nieznany","Неизвестно","Bilinmeyen"
"common.json","versions","Versions","Weergawes","版本","संस्करण","Versi","バージョン","버전","Wersje","Версии","Versiyon"
"common.json","version","Version","Weergawe","版本","संस्करण","Versi","バージョン","버전","Wersja","Версия","Versiyon"
"common.json","resources","Resources","Hulpbronne","资源","संसाधन","Sumber daya","リソース","자원","Zasoby","Ресурсы","Kaynaklar"
"common.json","hashrate","Hashrate","Hashtempo","哈希率","हैश दर","Hashrate","ハッシュレート","해시레이트","Prędkość ( hashrate )","Хэшрейт","Hashrate"
"common.json","utilization","Utilization","Benutting","利用率","उपयोग","Pemanfaatan","利用率","활용도","Wykorzystanie","Использование","Fayda"
"common.json","mode","Mode","Modus","模式","मोड","Mode","モード","모드","Tryb","Режим","Mode"
"common.json","day","Day","Dag","天","दिन","Hari","日","일","Dzień","День","Gün"
"common.json","shutting-down","Shutting down..","Afskakel..","停工..","बंद हो रहा है..","Mematikan..","シャットダウン中..","종료 중..","Wyłączanie..","Выключение..","Kapatılıyor.."
"common.json","tari-universe","Tari Universe","Tari Heelal","Tari Universe","Tari Universe","Tari Universe","Tari Universe","Tari Universe","Tari Universe","Tari Universe","Tari Universe"
"common.json","testnet","Testnet","Toetsnetwerk","测试网","टेस्टनेट","Testnet","テストネット","테스트넷","Testnet","Тестовая сеть","Testnet"
"common.json","critical-error","Critical error","Critical error","Critical error","गंभीर त्रुटि","Kesalahan kritis","重大なエラー","치명적 오류","Krytyczny błąd","Критическая ошибка","Critical error"
"common.json","please-try-again-later","Please try again later. If the problem persists, please contact us.","Please try again later. If the problem persists, please contact us.","Please try again later. If the problem persists, please contact us.","कृपया बाद में पुनः प्रयास करें। यदि समस्या बनी रहती है, तो कृपया हमसे संपर्क करें।","Silakan coba lagi nanti. Jika masalah berlanjut, silakan hubungi kami.","後でもう一度お試しください。問題が続く場合は、お問い合わせください。","나중에 다시 시도해 주세요. 문제가 계속되면 저희에게 연락해 주세요.","Spróbuj ponownie później. Jeśli problem będzie się powtarzał, skontaktuj się z nami.","Пожалуйста, попробуйте позже. Если проблема сохраняется, свяжитесь с нами.","Please try again later. If the problem persists, please contact us."
"common.json","close-tari-universe","Close Tari Universe","Close Tari Universe","Close Tari Universe","Tari Universe बंद करें","Tutup Tari Universe","Tari Universeを閉じる","Tari Universe 닫기","Zamknij Tari Universe","Закрыть Tari Universe","Close Tari Universe"
"airdrop.json","airdropGame","Testnet Rewards","Airdrop Speletjie","空投游戏","एयरड्रॉप गेम","Permainan Airdrop","エアドロップゲーム","에어드롭 게임","Gra Airdrop","Игра Airdrop","Airdrop Oyunu"
"airdrop.json","loginButton","Log in to claim gems","Meld aan om edelstene te eis","登录以领取宝石","रत्नों का दावा करने के लिए लॉग इन करें","Masuk untuk mengklaim permata","ログインしてジェムを獲得","로그인하여 보석 받기","Log in to claim gems","Войдите, чтобы получить гемы","Mücevherleri talep etmek için giriş yapın"
"airdrop.json","logout","Logout","Teken uit","登出","लॉगआउट","Keluar","ログアウト","로그아웃","Logout","Выйти","Çıkış"
"airdrop.json","referral","Invite a friend","Nooi ""n vriend","邀请朋友","एक मित्र को आमंत्रित करें","Undang teman","友達を招待","친구 초대","Zaproś znajomego","Пригласить друга","Arkadaşlarını davet et"
"airdrop.json","unclaimedGems","Unclaimed Gems","Ongeëisde Edelstene","未领取的宝石","अदावा किए गए रत्न","Permata yang Belum Diklaim","未請求のジェム","미수령 보석","Nieodebrane klejnoty","Неполученные гемы","Talep Edilmemiş Taşlar"
"airdrop.json","inviteFirends","Invite Friends","Nooi Vriende","邀请朋友","मित्रों को आमंत्रित करें","Undang Teman","友達を招待","친구 초대","Zaproś znajomych","Пригласить друзей","Arkadaşları Davet Et"
"airdrop.json","inviteFriendsText","Copy link and share it","Kopieer skakel en deel dit","复制链接并分享","लिंक कॉपी करें और साझा करें","Salin tautan dan bagikan","リンクをコピーして共有する","링크를 복사하여 공유하세요","Skopiuj link i udostępnij go","Скопируйте ссылку и поделитесь ею","Bağlantıyı kopyalayın ve paylaşın"
"airdrop.json","invitedAmount","You’ve invited <span>{{count}}</span> friends","U het <span>{{count}}</span> vriende genooi","您已邀请<span>{{count}}</span>位朋友","आपने <span>{{count}}</span> मित्रों को आमंत्रित किया है","Anda telah mengundang <span>{{count}}</span> teman","あなたは<span>{{count}}</span>人の友達を招待しました","당신은 <span>{{count}}</span>명의 친구를 초대했습니다","Zaprosiłeś <span>{{count}}</span> znajomych","Вы пригласили <span>{{count}}</span> друзей","<span>{{count}}</span> arkadaş davet ettiniz"
"airdrop.json","nextTierBonus","Invite <strong>{{count}} friends</strong> & earn {{bonusGems}} bonus gems","Nooi <strong>{{count}} vriende</strong> & verdien {{bonusGems}} bonus edelstene","邀请<strong>{{count}}位朋友</strong>并赚取{{bonusGems}}个奖励宝石","<strong>{{count}} मित्रों</strong> को आमंत्रित करें और {{bonusGems}} बोनस रत्न कमाएं","Undang <strong>{{count}} teman</strong> & dapatkan {{bonusGems}} permata bonus","<strong>{{count}}人の友達</strong>を招待して、{{bonusGems}}ボーナスジェムを獲得","<strong>{{count}}명의 친구</strong>를 초대하고 {{bonusGems}}개의 보너스 보석을 받으세요","Zaproś <strong>{{count}} znajomych</strong> i zdobądź {{bonusGems}} dodatkowych klejnotów","Пригласите <strong>{{count}} друзей</strong> и получите {{bonusGems}} бонусных гемов","<strong>{{count}} arkadaş</strong> davet et ve {{bonusGems}} bonus taş kazan"
"airdrop.json","claimGems","Claim Gems","Eis Edelstene","领取宝石","रत्नों का दावा करें","Klaim Permata","ジェムを請求","보석 받기","Odbierz klejnoty","Получить гемы","Taşları Talep Et"
"airdrop.json","doLater","I'll do this later","Ek sal dit later doen","我稍后再做","मैं इसे बाद में करूंगा","Saya akan melakukannya nanti","後で行います","나중에 할게요","Zrobię to później","Я сделаю это позже","Bunu daha sonra yapacağım"
"airdrop.json","linkCopied","Link copied!","Skakel gekopieer!","链接已复制！","लिंक कॉपी किया गया!","Tautan disalin!","リンクがコピーされました！","링크가 복사되었습니다!","Link skopiowany!","Ссылка скопирована!","Bağlantı kopyalandı!"
"airdrop.json","giftReferralCodeHeader","Claim your referral code <span>{{gems}}<image src='/assets/images/gem.png' alt=''/></span> gems.","Eis u verwysingskode <span>{{gems}}<image src=""/assets/images/gem.png"" alt=""""/></span> edelstene.","领取您的推荐码<span>{{gems}}<image src=""/assets/images/gem.png"" alt=""""/></span>宝石。","अपना रेफरल कोड <span>{{gems}}<image src=""/assets/images/gem.png"" alt=""""/></span> रत्नों का दावा करें।","Klaim kode referensi Anda <span>{{gems}}<image src=""/assets/images/gem.png"" alt=""""/></span> permata.","紹介コードを請求して<span>{{gems}}<image src=""/assets/images/gem.png"" alt=""""/></span>ジェムを獲得。","추천 코드를 사용하여 <span>{{gems}}<image src=""/assets/images/gem.png"" alt=""""/></span> 보석을 받으세요.","Odbierz swój kod polecający <span>{{gems}}<image src=""/assets/images/gem.png"" alt=""""/></span> klejnotów.","Получите ваш реферальный код <span>{{gems}}<image src=""/assets/images/gem.png"" alt=""""/></span> гемов.","Referans kodunuzu talep edin <span>{{gems}}<image src=""/assets/images/gem.png"" alt=""""/></span> taş."
